timestamp,zone_id,gate_id,kpi_name,value
2026-06-23T00:00:00+00:00,ZONE-AUD,GATE-01,occupancy_pct,15.0
2026-06-23T00:00:00+00:00,ZONE-AUD,GATE-01,people_count,299.0
2026-06-23T00:00:00+00:00,ZONE-AUD,GATE-01,density_index,0.89
2026-06-23T00:00:00+00:00,ZONE-AUD,GATE-01,utilization_m2_pct,13.7
2026-06-23T00:00:00+00:00,ZONE-AUD,GATE-01,comfort_index,84.1
2026-06-23T00:15:00+00:00,ZONE-AUD,GATE-01,occupancy_pct,10.4
2026-06-23T00:15:00+00:00,ZONE-AUD,GATE-01,people_count,207.0
2026-06-23T00:15:00+00:00,ZONE-AUD,GATE-01,density_index,0.47
2026-06-23T00:15:00+00:00,ZONE-AUD,GATE-01,utilization_m2_pct,8.8
2026-06-23T00:15:00+00:00,ZONE-AUD,GATE-01,comfort_index,92.5
2026-06-23T00:30:00+00:00,ZONE-AUD,GATE-01,occupancy_pct,14.0
2026-06-23T00:30:00+00:00,ZONE-AUD,GATE-01,people_count,280.0
2026-06-23T00:30:00+00:00,ZONE-AUD,GATE-01,density_index,1.01
2026-06-23T00:30:00+00:00,ZONE-AUD,GATE-01,utilization_m2_pct,13.7
2026-06-23T00:30:00+00:00,ZONE-AUD,GATE-01,comfort_index,81.7
2026-06-23T00:45:00+00:00,ZONE-AUD,GATE-01,occupancy_pct,16.5
2026-06-23T00:45:00+00:00,ZONE-AUD,GATE-01,people_count,330.0
2026-06-23T00:45:00+00:00,ZONE-AUD,GATE-01,density_index,0.99
2026-06-23T00:45:00+00:00,ZONE-AUD,GATE-01,utilization_m2_pct,16.1
2026-06-23T00:45:00+00:00,ZONE-AUD,GATE-01,comfort_index,85.9
2026-06-23T01:00:00+00:00,ZONE-AUD,GATE-01,occupancy_pct,21.0
2026-06-23T01:00:00+00:00,ZONE-AUD,GATE-01,people_count,421.0
2026-06-23T01:00:00+00:00,ZONE-AUD,GATE-01,density_index,1.23
2026-06-23T01:00:00+00:00,ZONE-AUD,GATE-01,utilization_m2_pct,18.2
2026-06-23T01:00:00+00:00,ZONE-AUD,GATE-01,comfort_index,77.7
2026-06-23T01:15:00+00:00,ZONE-AUD,GATE-01,occupancy_pct,19.9
2026-06-23T01:15:00+00:00,ZONE-AUD,GATE-01,people_count,398.0
2026-06-23T01:15:00+00:00,ZONE-AUD,GATE-01,density_index,1.37
2026-06-23T01:15:00+00:00,ZONE-AUD,GATE-01,utilization_m2_pct,18.4
2026-06-23T01:15:00+00:00,ZONE-AUD,GATE-01,comfort_index,77.2
2026-06-23T01:30:00+00:00,ZONE-AUD,GATE-01,occupancy_pct,17.7
2026-06-23T01:30:00+00:00,ZONE-AUD,GATE-01,people_count,354.0
2026-06-23T01:30:00+00:00,ZONE-AUD,GATE-01,density_index,1.09
2026-06-23T01:30:00+00:00,ZONE-AUD,GATE-01,utilization_m2_pct,15.2
2026-06-23T01:30:00+00:00,ZONE-AUD,GATE-01,comfort_index,90.5
2026-06-23T01:45:00+00:00,ZONE-AUD,GATE-01,occupancy_pct,25.7
2026-06-23T01:45:00+00:00,ZONE-AUD,GATE-01,people_count,513.0
2026-06-23T01:45:00+00:00,ZONE-AUD,GATE-01,density_index,1.8
2026-06-23T01:45:00+00:00,ZONE-AUD,GATE-01,utilization_m2_pct,25.2
2026-06-23T01:45:00+00:00,ZONE-AUD,GATE-01,comfort_index,73.5
2026-06-23T02:00:00+00:00,ZONE-AUD,GATE-01,occupancy_pct,21.1
2026-06-23T02:00:00+00:00,ZONE-AUD,GATE-01,people_count,422.0
2026-06-23T02:00:00+00:00,ZONE-AUD,GATE-01,density_index,1.4
