timestamp,gate_id,zone_id,wait_time_s,in_count,out_count
2026-06-23T00:00:00+00:00,GATE-01,ZONE-AUD,37.8,0,0
2026-06-23T00:15:00+00:00,GATE-01,ZONE-AUD,50.9,0,0
2026-06-23T00:30:00+00:00,GATE-01,ZONE-AUD,30.8,2,0
2026-06-23T00:45:00+00:00,GATE-01,ZONE-AUD,33.7,0,0
2026-06-23T01:00:00+00:00,GATE-01,ZONE-AUD,65.8,6,0
2026-06-23T01:15:00+00:00,GATE-01,ZONE-AUD,22.3,6,9
2026-06-23T01:30:00+00:00,GATE-01,ZONE-AUD,43.5,13,0
2026-06-23T01:45:00+00:00,GATE-01,ZONE-AUD,46.4,8,14
2026-06-23T02:00:00+00:00,GATE-01,ZONE-AUD,103.9,5,23
2026-06-23T02:15:00+00:00,GATE-01,ZONE-AUD,82.8,7,10
2026-06-23T02:30:00+00:00,GATE-01,ZONE-AUD,111.7,7,15
2026-06-23T02:45:00+00:00,GATE-01,ZONE-AUD,69.6,31,11
2026-06-23T03:00:00+00:00,GATE-01,ZONE-AUD,97.5,25,14
2026-06-23T03:15:00+00:00,GATE-01,ZONE-AUD,80.2,23,8
2026-06-23T03:30:00+00:00,GATE-01,ZONE-AUD,124.9,1,14
2026-06-23T03:45:00+00:00,GATE-01,ZONE-AUD,109.0,24,20
2026-06-23T04:00:00+00:00,GATE-01,ZONE-AUD,102.2,33,5
2026-06-23T04:15:00+00:00,GATE-01,ZONE-AUD,104.3,31,22
2026-06-23T04:30:00+00:00,GATE-01,ZONE-AUD,125.5,29,35
2026-06-23T04:45:00+00:00,GATE-01,ZONE-AUD,107.7,20,16
2026-06-23T05:00:00+00:00,GATE-01,ZONE-AUD,135.3,25,27
2026-06-23T05:15:00+00:00,GATE-01,ZONE-AUD,121.9,32,35
2026-06-23T05:30:00+00:00,GATE-01,ZONE-AUD,178.4,28,33
2026-06-23T05:45:00+00:00,GATE-01,ZONE-AUD,143.6,30,12
2026-06-23T06:00:00+00:00,GATE-01,ZONE-AUD,149.0,24,26
2026-06-23T06:15:00+00:00,GATE-01,ZONE-AUD,165.9,45,25
2026-06-23T06:30:00+00:00,GATE-01,ZONE-AUD,170.3,29,26
2026-06-23T06:45:00+00:00,GATE-01,ZONE-AUD,176.5,31,29
2026-06-23T07:00:00+00:00,GATE-01,ZONE-AUD,167.0,42,22
2026-06-23T07:15:00+00:00,GATE-01,ZONE-AUD,153.8,29,37
2026-06-23T07:30:00+00:00,GATE-01,ZONE-AUD,170.0,48,35
2026-06-23T07:45:00+00:00,GATE-01,ZONE-AUD,186.1,35,37
2026-06-23T08:00:00+00:00,GATE-01,ZONE-AUD,155.3,33,20
2026-06-23T08:15:00+00:00,GATE-01,ZONE-AUD,174.7,31,46
2026-06-23T08:30:00+00:00,GATE-01,ZONE-AUD,179.1,38,34
2026-06-23T08:45:00+00:00,GATE-01,ZONE-AUD,172.3,42,35
2026-06-23T09:00:00+00:00,GATE-01,ZONE-AUD,191.3,31,36
2026-06-23T09:15:00+00:00,GATE-01,ZONE-AUD,167.9,38,39
2026-06-23T09:30:00+00:00,GATE-01,ZONE-AUD,187.5,35,27
